id,0me,host_id,host_0me,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,reviews_per_month,calculated_host_listings_count,,last_review
177,Spacious room near Prospect Park & Brooklyn Museum,2343200,Ade,Brooklyn,Crown Heights,40.67019,-73.93996,Private room,47,3,0,125,0,1,,0
178,*Tr)  Charming Private Room 20 min to manhattan,154258141,Elsie,Brooklyn,Bushwick,40.68822,-73.91639,Private room,64,2,46,352,2.67,10,,6/19/2019
179,Spacious Comfy Bedroom in Bushwick,5879951,Marine,Brooklyn,Williamsburg,40.70617,-73.93674,Private room,68,5,5,0,0.11,1,,9/20/2017
180,TRANQUIL HAVEN W/PRIVATE BATH-8 MINS TO JFK RM.#1,178272943,Sharon,Queens,Jamaica,40.67162,-73.77919,Private room,65,1,0,74,0,4,,0
181,ROOM # 3 near to JFK & LGA Airport,258589420,Diego,Queens,Richmond Hill,40.68908,-73.83326,Private room,56,1,12,179,5.37,7,,7/7/2019
182,Great room near CUMC!,16549175,Ala0,Manhattan,Washington Heights,40.84441,-73.94218,Private room,40,6,0,0,0,1,,0
183,"Cozy room near subway , LGA airport n manhattan",79499558,Roberti0,Queens,Jackson Heights,40.75164,-73.88506,Private room,55,2,29,149,2.96,4,,6/20/2019
184,Lovely 1.5 bed in South Park Slope,2128335,Julian,Brooklyn,Sunset Park,40.66198,-73.99785,Entire home/apt,69,5,9,0,0.2,1,,12/30/2016
185,Sun-filled gem near the water and transportation,24482415,Karu0,Brooklyn,Bay Ridge,40.63275,-74.02946,Private room,35,7,2,1,1.4,1,,6/29/2019
186,Bushwick Landing Pad,36952002,Debra,Brooklyn,Bushwick,40.68787,-73.91305,Private room,35,2,14,16,0.66,1,,6/27/2019
187,La Guardia Aiport My Place 1,259289556,Emely,Queens,East Elmhurst,40.76227,-73.86451,Private room,49,1,1,48,1,1,,6/16/2019
188,The Heights,124593127,Miguel,Manhattan,Washington Heights,40.85564,-73.93066,Private room,40,1,93,297,3.5,2,,6/21/2019
189,U can have your private bathroom! @cozy area!,200239515,Shogo,Queens,Woodside,40.74288,-73.89488,Private room,40,30,0,22,0,15,,0
190,Large Room in Prime Bushwick Neighborhood,239375612,Rebekah,Brooklyn,Bushwick,40.70455,-73.92565,Private room,30,1,3,0,0.62,1,,3/31/2019
191,Private Bedroom with Private Entrance in Brooklyn.,72466752,Nelima,Brooklyn,Bushwick,40.70247,-73.91793,Private room,60,4,16,42,0.83,1,,6/30/2019
192,Modern Room in a Duplex Loft,65598016,Iva0 And Tami,Brooklyn,Crown Heights,40.66946,-73.95306,Private room,60,2,136,346,3.45,1,,6/23/2019
193,Sunny loft in Brooklyn,9073820,Lisa,Brooklyn,Bedford-Stuyvesant,40.69144,-73.95891,Private room,38,1,0,0,0,1,,0
194,Bedstuy Bedstay,25001097,Keila,Brooklyn,Bedford-Stuyvesant,40.68209,-73.92015,Entire home/apt,50,5,9,0,0.52,1,,12/20/2018
195,2部屋でのｼｪｱ ﾌﾞﾙｯｸﾘﾝの大人気ｴﾘｱのｳｨﾘｱﾑｽﾞﾊﾞｰｸﾞから3駅 駅から徒歩3分の好立地,19303369,Hiroki,Brooklyn,Bedford-Stuyvesant,40.68787,-73.94973,Private room,33,29,0,0,0,37,,0
196,"步行9分钟到法拉盛缅街中心的电梯房,提供免费矿泉水可乐",151810361,Jungyen,Queens,Flushing,40.76187,-73.82169,Private room,69,1,9,365,4.91,6,,6/28/2019
197,"Sun Drenched, Huge Room-Park Slope",19877163,Heather,Brooklyn,Boerum Hill,40.68316,-73.97952,Private room,55,2,1,0,0.03,1,,8/11/2016
198,"Clean, Cozy Private Bedroom/Apartment",11332183,Tj,Manhattan,Harlem,40.81281,-73.94475,Private room,65,3,3,0,0.45,1,,5/27/2019
199,Sunny Room in Historic Williamsburg Loft,26089087,Karron,Brooklyn,Williamsburg,40.70907,-73.96396,Private room,60,1,33,19,2.75,1,,6/26/2019
200,BEAUTIFUL ROOM WITH GARDEN VIEW!,10975951,Ayla Silvia,Brooklyn,Bedford-Stuyvesant,40.69348,-73.94499,Private room,60,2,2,1,1.67,1,,6/23/2019
201,Comfy extra bedroom in Williamsburg,1453898,Anthony,Brooklyn,Williamsburg,40.71194,-73.9668,Private room,60,2,30,43,3.53,3,,6/23/2019
202,Best value single room in New York B5,20559017,Yohan,Manhattan,East Harlem,40.78644,-73.9438,Private room,45,30,4,311,0.08,9,,2/14/2018
203,Private Bedroom in West Village/Chelsea,1144452,Dante,Manhattan,Chelsea,40.74045,-74.00047,Private room,12,3,8,37,0.59,1,,6/7/2019
204,Dani private room in Manhattan,10364678,Dany,Manhattan,Inwood,40.86786,-73.92077,Private room,50,2,58,188,0.96,2,,10/20/2017
205,Cozy/Simple Private Room#1 in Broadway AVE,120875818,Rock,Brooklyn,Bushwick,40.69155,-73.92518,Private room,60,1,6,167,3.91,2,,6/29/2019
206,Casa familiar,212157854,Camilo,Bronx,Concourse,40.83703,-73.91643,Private room,40,2,32,132,3.08,2,,6/29/2019
207,Superb master bedroom on the Upper West Side,3740293,Paolo,Manhattan,Upper West Side,40.78859,-73.97568,Private room,60,14,1,0,0.04,1,,5/23/2017
208,Cozy room in E.Williamsburg + Rooftop & Backyard,3989837,0dav,Brooklyn,Williamsburg,40.7074,-73.94063,Private room,59,3,59,119,1.3,2,,6/30/2019
209,Cute Bright 1 Bedroom apartment in Bushwick,94422691,Omar,Brooklyn,Bushwick,40.69694,-73.90766,Entire home/apt,67,2,1,0,1,1,,7/3/2019
210,Room in the heart of Williamsburg,4110759,Lorenzo,Brooklyn,Williamsburg,40.71725,-73.95392,Private room,60,7,0,0,0,1,,0
211,Nice Modern Mirrored Room in NYC,10764579,Kevin,Manhattan,Harlem,40.82532,-73.94992,Private room,55,14,66,17,1.12,1,,4/30/2019
212,Spacious Bedroom in Prime Brooklyn Location,18168381,Jessica,Brooklyn,Bedford-Stuyvesant,40.69286,-73.93235,Private room,45,3,7,0,0.46,1,,6/22/2019
213,Cozy bedroom in Bed-Stuy area!,93520536,Jessenia,Brooklyn,Bedford-Stuyvesant,40.68094,-73.9086,Private room,60,3,9,20,1.43,1,,6/29/2019
214,"Dominique's mini room NYC-sleep, shower & go*wifi",310670,Vie,Bronx,Eastchester,40.88001,-73.8345,Private room,62,2,5,320,0.12,13,,7/11/2017
215,Lg Room Historic Clinton Hill Near Pratt/Barclays,66041795,Stephanie,Brooklyn,Clinton Hill,40.68628,-73.96707,Private room,55,5,2,0,0.11,1,,12/29/2018
216,纽约之家(PrivateBathroom4),45600001,Amy,Queens,Flushing,40.74491,-73.83355,Private room,60,1,27,76,0.59,3,,5/27/2019
217,"Great location, new lower rates!!!",3339701,Angelo,Queens,Ditmars Steinway,40.77478,-73.91913,Private room,50,1,164,308,2.78,4,,6/20/2019
218,Bergen Beach Beauty,224365956,Marshall,Brooklyn,Bergen Beach,40.62221,-73.90975,Entire home/apt,49,3,20,164,2.64,1,,6/30/2019
219,BEAUTIFUL SUNNY ROOM!,6047516,Fejir,Brooklyn,Bushwick,40.68493,-73.90882,Private room,25,1,0,0,0,1,,0
220,Attic Space - 三楼阁楼,21228368,Jessica,Queens,Forest Hills,40.7132,-73.84901,Private room,50,1,1,183,0.02,5,,8/10/2015
221,Spacious room in Park Slope,27240422,Hardik,Brooklyn,Park Slope,40.67487,-73.98459,Private room,45,1,2,0,0.04,1,,7/9/2015
222,"Large, Sunny Private Bedroom in Kingsbridge, Bronx",19789539,Isaac,Bronx,Fordham,40.86737,-73.89415,Private room,47,3,14,197,0.89,1,,5/31/2019
223,Brooklyn Small but cozy bedroom C close to Subways,243129380,Nubia,Brooklyn,Bushwick,40.6872,-73.90895,Private room,55,2,18,188,4,4,,6/29/2019
224,"Cozy, Spacious Bedstuy Pad",34058193,Beverly,Brooklyn,Bedford-Stuyvesant,40.68972,-73.95629,Entire home/apt,60,5,5,0,0.1,1,,11/25/2015
225,The Suite Spot! Queen Tempurpedic in Luxury Apt,146036754,Rose,Queens,Astoria,40.76838,-73.92564,Private room,60,2,4,177,0.18,2,,2/25/2019
226,LIC Jackson park luxury apartment Queen Plaza,245830692,Ruijia,Queens,Long Island City,40.74776,-73.93869,Private room,65,2,3,26,3,1,,6/29/2019
227,哥大附近卧室 Room on Upper West/Columbia,74231989,Siyu,Manhattan,Upper West Side,40.80205,-73.9658,Private room,36,15,1,0,0.03,1,,8/1/2016
228,1Comfortable Shared Apt in Hell’s Kitchen,187975743,R.Henry,Manhattan,Hell's Kitchen,40.76249,-73.98807,Shared room,65,1,17,198,4.77,8,,6/23/2019
229,Stunning Private Bedroom in UWS 107,238321374,Eyal,Manhattan,Upper West Side,40.79881,-73.9596,Private room,60,30,0,329,0,32,,0
230,"Near LGA and JFK airport 
Small Cozy Room",194377255,Jimmy,Queens,East Elmhurst,40.76199,-73.88331,Private room,38,1,42,207,5.12,4,,5/5/2019
231,Spacious 1 Bdrm in Queens w Manhattan views,95913669,Ali,Queens,Maspeth,40.73834,-73.90774,Private room,46,1,1,0,0.03,1,,9/26/2016
232,"Sunny, Quiet, Open Space Uptown",32924087,Faiven,Manhattan,Washington Heights,40.8327,-73.94028,Shared room,63,1,2,0,0.04,2,,8/17/2015
233,"Furnished room close to most, 15min to Grand Cent.",100182541,Jill,Brooklyn,Greenpoint,40.73577,-73.95118,Private room,50,20,2,0,0.07,1,,5/26/2017
234,Charming cozy bedroom in Clinton Hill!,1303899,Nicolas,Brooklyn,Clinton Hill,40.68933,-73.96082,Private room,45,3,1,189,0.11,1,,10/18/2018
235,Private Entrance/ Private Bathroom,41201538,Faith,Brooklyn,Bushwick,40.70126,-73.918,Private room,63,2,104,230,2.19,1,,6/8/2019
236,Peace and love,108454497,Yasser,Queens,Maspeth,40.72959,-73.89381,Private room,35,30,0,179,0,1,,0
237,Private Bedroom in Clinton Hill,3094303,Cecilia,Brooklyn,Clinton Hill,40.68641,-73.96124,Private room,48,12,1,0,0.06,1,,1/31/2018
238,"Cozy room, female only, AC include&3 subway lines",87174871,Emma,Manhattan,Upper West Side,40.80253,-73.96315,Private room,30,1,6,9,0.33,1,,7/2/2019
239,Cozy Room near Columbia University,11523011,Tiara,Manhattan,Morningside Heights,40.80766,-73.96594,Private room,60,30,7,246,0.27,2,,7/10/2018
240,"Cozy private room near, Upper Westside CentralPark",126653377,Sergii,Manhattan,Harlem,40.80447,-73.95589,Private room,63,30,0,364,0,6,,0
241,Compact & Cozy Greenpoint Room,5022499,Bryan,Brooklyn,Greenpoint,40.72407,-73.94762,Private room,40,1,0,0,0,1,,0
242,Pre-War 1 BR with Scenic Manhattan Views,82168970,Michael,Staten Island,St. George,40.64475,-74.07811,Private room,50,1,0,0,0,1,,0
243,Sunny & Spacious - Private Master Bedroom near JFK,52132241,Pearl,Brooklyn,Crown Heights,40.67293,-73.93273,Private room,54,2,53,8,2.3,1,,6/2/2019
244,Cozy shared male room at center of Manhattan III\),39528519,Max,Manhattan,Lower East Side,40.71239,-73.98626,Shared room,32,14,0,342,0,28,,0
245,"Philosopher's Private Room, Clean, 1.5 Baths",10015933,Dwayne,Manhattan,Harlem,40.81609,-73.93663,Private room,55,1,48,365,1.68,1,,6/30/2019
246,BEST QUICK STAY CROWN HEIGHTS BKLYN,42315851,Matthew,Brooklyn,Crown Heights,40.66827,-73.93255,Private room,50,1,1,0,0.02,1,,9/6/2015
247,Basement Room with Window,35927005,Kathy,Brooklyn,Borough Park,40.63525,-74.00724,Private room,48,1,0,365,0,10,,0
248,Brooklyn- Crown Heights Garden Apt.,314582,Anthony,Brooklyn,Crown Heights,40.67555,-73.95057,Private room,55,2,247,275,2.51,2,,6/21/2019
249,PVT spacious room in queens near airports,272324119,Abe,Queens,Jamaica,40.70642,-73.78365,Private room,39,2,0,54,0,1,,0
250,Brooklyn @ Best ✨ cozy 1br garden,65595344,Shanise,Brooklyn,Bedford-Stuyvesant,40.69079,-73.93344,Shared room,65,1,3,0,0.09,1,,5/28/2017
251,Huge Sunny Room in Prime Brooklyn Flushing Ave JM,14759473,Edith,Brooklyn,Bedford-Stuyvesant,40.7002,-73.94327,Private room,55,1,25,0,0.88,1,,5/19/2019
252,Large Cozy Bedroom Near Manhattan & Airport,3644693,Eugenia,Queens,Jackson Heights,40.75166,-73.88088,Private room,68,28,5,0,0.61,2,,1/23/2019
253,1 bedroom and office room or 2 beds,52835849,Heather,Brooklyn,Bushwick,40.70165,-73.92938,Private room,50,7,0,89,0,2,,0
254,Luminous and Spacious Private Room,4167027,Jam,Brooklyn,Kensington,40.64595,-73.97578,Private room,60,5,3,344,0.45,1,,4/16/2019
255,Private room in shared apt.,40041424,Marisela,Brooklyn,Crown Heights,40.67215,-73.94281,Private room,50,2,2,0,0.04,1,,9/9/2015
256,"Renting a bedroom, 1 week minimum",94777797,Maya,Brooklyn,Sunset Park,40.64925,-74.01147,Private room,60,7,0,88,0,1,,0
257,"Private Bedroom. Near Subway. Bushwick, Brooklyn",396599,Thomas,Brooklyn,Bushwick,40.69966,-73.92295,Private room,40,1,65,52,5.27,2,,7/2/2019
258,Great value! Private room Queen size Couch bed,147762665,Jose,Bronx,Wakefield,40.88688,-73.85848,Private room,37,1,14,332,1.42,3,,7/5/2019
259,Glendale apartment,177560095,Michelle,Queens,Glendale,40.69991,-73.88952,Private room,50,7,17,66,1.27,1,,4/10/2019
260,Charming Cozy Room in Harlem,9030453,Irie,Manhattan,Harlem,40.81064,-73.94405,Private room,67,2,28,132,1.04,2,,7/3/2019
261,Comfortable Hamilton Heights Apt,18362341,Michael,Manhattan,Harlem,40.83086,-73.94478,Private room,35,1,0,0,0,1,,0
262,ACintheroom!35minutes toWALL St. quiet&residential,47782497,Robianddebbie,Brooklyn,East New York,40.66983,-73.87745,Private room,65,7,16,287,1.42,3,,6/23/2019
263,Lovely&Morden bedroom near everything you want!,33064599,Yukee,Manhattan,Upper West Side,40.80039,-73.96724,Private room,49,1,56,326,1.83,6,,4/19/2019
264,Beautiful sunny bedroom with balcony,6238227,Cecilia,Brooklyn,Bedford-Stuyvesant,40.69551,-73.95075,Private room,60,5,0,0,0,1,,0
265,"luxury, neat, minute fom trains",118816229,Ali,Bronx,Williamsbridge,40.88249,-73.86274,Private room,50,1,85,328,3.43,1,,7/4/2019
266,Cozy and bright room in Morningside Heights,25991504,Claudia,Manhattan,Morningside Heights,40.81254,-73.96025,Private room,48,7,1,0,0.04,1,,8/16/2017
267,"Spacious, Sunny Room right by the Subway",19698740,0talie,Brooklyn,Prospect Heights,40.67762,-73.97097,Private room,50,2,0,0,0,1,,0
268,Columbia University Area,175497286,Jacob,Manhattan,Washington Heights,40.83705,-73.93843,Private room,55,1,2,341,0.13,1,,6/19/2018
269,Spacious furnished room,40694772,Data05,Queens,Flushing,40.73331,-73.80811,Private room,55,2,0,0,0,1,,0
270,Private One Bedroom,16140828,Pedro,Manhattan,Morningside Heights,40.80864,-73.95913,Private room,65,4,0,0,0,1,,0
271,Spacious Bedroom in Brooklyn,31876574,Morteza,Brooklyn,Crown Heights,40.66739,-73.9501,Private room,44,1,1,0,0.02,1,,5/21/2015
272,Sunnyside Gardens Oasis!,763439,Joel,Queens,Sunnyside,40.74817,-73.91886,Private room,50,1,1,0,0.04,1,,8/12/2017
273,1 BEDROOM APT IN PRIME WILLIAMSBURG,3663033,Jehan,Brooklyn,Williamsburg,40.71662,-73.95993,Entire home/apt,50,7,4,0,0.07,1,,3/9/2016
274,Spacious private room near central park,142878742,Sam,Manhattan,East Harlem,40.79012,-73.94333,Private room,60,1,163,61,6.9,3,,6/21/2019
275,Private Bedroom Minutes To Manhattan,214329835,Rita,Queens,Ditmars Steinway,40.77882,-73.90935,Private room,69,2,2,74,0.23,2,,5/6/2019
276,TASTEFUL DESIGN + SPACE FOREVER,4281123,Albert,Brooklyn,Bushwick,40.6916,-73.92294,Private room,55,2,2,0,0.03,1,,5/12/2019
277,Marabou,17370376,Christian,Brooklyn,Crown Heights,40.67431,-73.95399,Private room,55,30,19,281,0.52,1,,8/11/2018
278,Ben's extra bedroom,62589092,Chen,Manhattan,Harlem,40.80996,-73.94191,Private room,53,1,26,1,5.03,1,,6/20/2019
279,Cosy Room in Ridgewood/Bushwick,4386682,Francesco,Queens,Ridgewood,40.7024,-73.9106,Private room,35,5,7,0,0.19,3,,3/2/2019
280,Beautiful Cozy Private Room!,256403429,Brenda,Brooklyn,East Flatbush,40.65214,-73.95159,Private room,53,1,15,77,5.56,5,,7/6/2019
281,Huge Bedroom in a Charming House with Private Yard,6480337,Sandra,Brooklyn,Greenpoint,40.72665,-73.94832,Private room,58,2,4,0,0.17,1,,8/21/2017
282,Amazing Space in the Heart of Williamsburg,62126843,James,Brooklyn,Williamsburg,40.71417,-73.94463,Entire home/apt,60,10,1,0,0.05,1,,9/26/2017
283,charming Bedroom in a quite neighborhood,221751961,Maya,Staten Island,Oakwood,40.56028,-74.10678,Private room,46,1,4,0,0.51,1,,1/19/2019
284,Spacious Room in Heart of Brooklyn,37563411,Andrew And Talia,Brooklyn,Crown Heights,40.6682,-73.94927,Private room,65,14,0,0,0,3,,0
285,"Quiet & Elegant, 30 mins to midtown Manhattan!",56403037,Jane,Queens,Woodhaven,40.68899,-73.85001,Shared room,35,1,11,53,4.52,3,,6/22/2019
286,Vacation in Astoria,62716661,Nelli,Queens,Astoria,40.7566,-73.91974,Private room,69,1,0,0,0,1,,0
287,Quiet Room in Brownstone - Prime Location,4579626,Karen,Brooklyn,Park Slope,40.67633,-73.9793,Private room,45,1,45,77,1.36,2,,7/3/2019
288,Only 25 min to Times Square,6690551,Victor,Manhattan,Washington Heights,40.8556,-73.93245,Private room,35,4,67,2,3.61,1,,7/3/2019
289,Brooklyn Palace,139623237,Audra,Brooklyn,Flatlands,40.61802,-73.92866,Private room,30,2,13,292,0.59,1,,5/31/2019
290,Habitacion Privada,152089883,Patricia,Queens,Ozone Park,40.68918,-73.84262,Private room,50,7,1,363,0.05,1,,1/2/2018
291,❤️PRIVATE ROOM❤️ Female guest only,60126047,Renuca,Queens,Jamaica,40.67667,-73.79829,Private room,40,3,11,318,0.33,1,,10/15/2017
292,Recording Studio,267940629,Kettly,Brooklyn,Flatlands,40.61994,-73.93967,Private room,60,1,0,365,0,1,,0
293,Newly Remodeled Room !!! downtown brooklyn,214694658,Damon,Brooklyn,Fort Greene,40.69439,-73.97319,Private room,65,1,90,254,9.41,1,,6/24/2019
294,Clean & Private Bedroom (near N/R train),28370925,En & Lora,Brooklyn,Sunset Park,40.63849,-74.02028,Private room,40,1,84,0,2.23,4,,7/24/2018
295,private room in new luxury building,257656654,Viola,Brooklyn,Prospect-Lefferts Gardens,40.65629,-73.95177,Private room,36,120,0,365,0,1,,0
296,Lovely Room in Beautiful Brooklyn,54043278,Mari0,Brooklyn,Bedford-Stuyvesant,40.68583,-73.95677,Private room,65,3,0,0,0,1,,0
297,Private Bedroom w/ En Suite in Shared Apartment,7921167,Justin,Brooklyn,Park Slope,40.67937,-73.98126,Private room,40,7,0,0,0,1,,0
298,"Great Room in Bushwick, Brooklyn!",39249461,Justin,Brooklyn,Bushwick,40.70512,-73.92187,Private room,65,3,3,0,0.06,1,,8/20/2015
299,Room on a quiet tree-lined block of Manhattan,45992029,Sarah,Manhattan,Harlem,40.82225,-73.94549,Private room,55,1,3,0,0.08,1,,7/13/2016
300,Private Room,62533391,Yvonne,Brooklyn,Borough Park,40.63528,-74.00734,Private room,60,1,4,152,0.84,7,,6/1/2019
301,"RENTING MY SOFA. ASTORIA ,NY",220634514,Daisy Mari0,Queens,Astoria,40.75869,-73.91439,Shared room,45,10,0,341,0,1,,0
302,Cozy Room in the lovely neighborhood of Bed Stuy,75442218,Loreto,Brooklyn,Bedford-Stuyvesant,40.68155,-73.93639,Private room,45,3,6,0,0.18,1,,12/10/2017
303,"Comfortable, Quiet, close to Airports, Manhattan",242622555,J,Queens,Maspeth,40.73218,-73.89633,Private room,50,1,0,0,0,1,,0
304,East Harlem QtPoC Living Space,46108407,Walesca,Manhattan,East Harlem,40.80224,-73.93732,Private room,48,1,1,0,0.07,1,,4/28/2018
305,Cozy room with 3 windows.,43676525,Filip,Brooklyn,Bushwick,40.69174,-73.90811,Private room,40,30,0,365,0,1,,0
306,Bushwick room filled with character and antiques!,34692600,Mateo,Brooklyn,Bushwick,40.69608,-73.91973,Private room,45,2,1,0,0.05,1,,12/12/2017
307,NY Queens Penthouse Share = 1BR aka Brooklyn Room,34861728,Iris,Queens,Kew Gardens,40.70945,-73.83132,Private room,59,9,12,318,0.26,4,,5/31/2019
308,"Great Room & Location, Williamsburg",9249156,Kevin,Brooklyn,Williamsburg,40.71019,-73.95439,Private room,55,3,2,0,0.05,1,,6/29/2016
309,Doll private room,17766289,Kaila,Bronx,Kingsbridge,40.86707,-73.90712,Private room,55,5,3,364,0.12,2,,1/6/2018
310,Full Bedroom in Bed-Stuy,4509849,Ines,Brooklyn,Bedford-Stuyvesant,40.68411,-73.92973,Private room,65,3,116,73,1.47,3,,5/21/2019
311,Best price-City College-1 train 20 min. Times Sq.,231830871,Sait,Manhattan,Harlem,40.81818,-73.95506,Shared room,50,1,27,98,5.51,1,,6/8/2019
312,Private bedroom near EVERYTHING,222549093,An0 Laura,Manhattan,Harlem,40.81557,-73.95702,Private room,60,5,0,21,0,3,,0
313,"In Riverdale, a most unusual apartment to enjoy.",124867390,Karel,Bronx,Spuyten Duyvil,40.88071,-73.92074,Private room,60,3,8,326,1.11,1,,6/16/2019
314,Bright Quiet Room in N. Manhattan,4185984,Greer,Manhattan,Inwood,40.8678,-73.92619,Private room,65,2,93,0,1.16,1,,8/3/2018
315,DUMBO PALACE,40529301,Tommy,Brooklyn,Fort Greene,40.69686,-73.97315,Private room,60,2,11,113,2.39,2,,7/3/2019
316,"""Dave's Island Suite""",258232863,David,Staten Island,New Springville,40.58647,-74.15954,Entire home/apt,68,2,8,4,5.33,1,,6/30/2019
317,Private room in loft (check out my pictures)!!!!,157708630,Marilyn,Brooklyn,Bushwick,40.70044,-73.92503,Private room,68,2,5,15,1.76,1,,5/27/2019
318,Private room with queen-size bed! M and L trains,133802988,Sergii,Queens,Ridgewood,40.70487,-73.90354,Private room,57,30,0,365,0,6,,0
319,Prolonged Traveler's Dream (a month first & more),32164030,Ikkyukim,Bronx,Hunts Point,40.81387,-73.88797,Private room,37,30,13,333,0.28,6,,2/28/2019
320,BEST LOCATION - COMFY ROOM for long term,20212516,My,Manhattan,Greenwich Village,40.73552,-73.99719,Private room,65,14,8,35,0.58,2,,6/16/2019
321,It's The Brooklyn Way !!!,12291588,Maximus,Brooklyn,Bedford-Stuyvesant,40.68476,-73.92975,Entire home/apt,59,1,142,318,2.63,1,,7/1/2019
322,Bright private bedroom in Prime Williamsburg!,319707,Kat,Brooklyn,Williamsburg,40.71077,-73.95159,Private room,49,7,0,37,0,1,,0
323,Bright private room with high ceilings near subway,35328956,Mansimran,Brooklyn,Bedford-Stuyvesant,40.6905,-73.95906,Private room,57,2,2,0,0.32,1,,3/1/2019
324,Medical Student Room A : Brooklyn Hospitals,146776990,Rosemarie,Brooklyn,East Flatbush,40.65286,-73.93209,Private room,35,30,3,342,0.16,4,,5/26/2018
325,"Cozy, private bedroom in Greenpoint/Williamsburg",133843931,Bryan,Brooklyn,Greenpoint,40.72546,-73.95558,Private room,37,1,62,359,2.8,2,,6/30/2019
326,Executive private room with full size bed- M train,251296793,Alex,Brooklyn,Bushwick,40.69995,-73.93884,Private room,64,30,0,0,0,4,,0
